,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,CEAS,SEAS,EQAS,AUST
rmse,0.4243935268987251,0.45432251153417796,0.5341460275291798,0.7594552387513483,0.928286144096595,0.28911086085176124,0.23341638745955906,2.9665725664692926,3.316899154599517,0.9453140848169712,1.1044177850099235,1.4874285682750987,0.46357780892902917,2.7814393885426374
spatial_rmse,0.053959927174023335,0.08890234724579676,0.24286479076251527,0.2663121476072044,0.27288387137871467,0.07565987586312446,0.07963352332455707,0.8629545165436484,0.9062528870006085,0.17503076101313966,0.21714519629082396,0.5454041751738402,0.2256680795910908,0.8394684375848447
corr,0.08386340250895809,0.07728252458054875,0.3272865830932715,0.5372533369648369,0.422212917763183,0.30415944161818675,0.15537977667555009,0.7136696470604306,0.6743071675838841,0.33710391278549756,0.21078522099183333,0.35028024122019324,0.30723128655720194,0.2823044990918047
spatial_corr,0.19977733142726764,0.17724148504996814,0.3963502688368074,0.6957305850169954,0.575154892538767,0.593278428636228,0.29456858356469734,0.8622112039784103,0.8407209383841383,0.6051698223637644,0.42901787462220164,0.4777487621193039,0.3988585221313947,0.5466849751945684
monthly_corr,0.24826422547072247,0.5953513803582502,0.8396143302891239,0.816136837317204,0.8916531810708619,0.7557647886223484,0.7843903998724017,0.9460636516793375,0.9721658015005503,0.8636654023617825,0.4728377785119731,0.795626817041987,0.9138564936553907,0.8134174007370244
yearly_corr,0.5067230169295083,0.6655276673344172,0.6972760693920497,0.6199394582660885,0.9378353109883422,0.5229546452946178,0.4584474240101871,0.6648369806719021,0.2714819421315743,0.7252130960718142,0.7471775578878558,0.27920764590496183,0.9600718803794621,0.917577507037072
