,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,CEAS,SEAS,EQAS,AUST
rmse,0.40527244356859404,0.3814814185589675,1.2481582822409192,0.6772054574521073,0.8824583256495716,0.39765015512437324,0.30183290673579377,3.505215839214375,3.429941461165244,1.2006942814027723,1.1621845470544352,2.5512918408060252,0.6388824843911736,2.67324300231521
spatial_rmse,0.059856733432164515,0.09811197709906846,0.3661280360638177,0.24591442268853245,0.2871657802815561,0.10689764581031808,0.10846492114717898,1.0064714303026892,1.0534886375939545,0.2964915415848972,0.26849444551661455,0.8760318482532964,0.20477832628495315,0.9556923659981051
corr,0.18039537407828343,0.14540629064538566,0.5201373687927747,0.6277168713169584,0.5301026387227397,0.3229518387462933,0.19227760638617536,0.7710278642682417,0.738886588429304,0.43283047043600653,0.35023736886091544,0.5926979055419351,0.3742881845145984,0.32551747897580263
spatial_corr,0.4916979142336076,0.3782719228188412,0.6265350750655326,0.8117424882777683,0.6707459586063349,0.6275850477504114,0.35564516003811436,0.9258093170715304,0.8907517361741942,0.6892911596278924,0.6397343496716921,0.6352928363824685,0.4655420460507073,0.567409122024132
monthly_corr,0.5472099337750823,0.7315400561482804,0.8299630341493209,0.9271909491472431,0.9515670783308516,0.7486098659681641,0.7929663390790778,0.9737050512242198,0.9855881679406178,0.9039194329829983,0.7577399429356775,0.9396640110514667,0.8827914412524639,0.8418252140898604
yearly_corr,0.7425365830668355,0.6586870915565346,0.7894078513365782,0.7321765011658838,0.7352376240634333,0.5020016271419971,0.42094549375728113,0.7372513536098457,0.6284340399390018,0.6290679065222625,0.701910796092443,0.5381193317680958,0.8861132920240551,0.913199354692565
