,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,CEAS,SEAS,EQAS,AUST,Global
rmse,0.4757375084672414,0.5020711109988282,0.9234429496860375,0.8378947535156848,1.1064918752238968,0.32691761008464143,0.26010969773916487,3.4390813645526905,3.8511856091697343,0.9467410148106598,1.1211337777025614,1.7801923844107508,0.6766395249118173,2.582062673856479,1.6473488876764437
spatial_rmse,0.10488523759587215,0.13021643081693585,0.5096686179207929,0.3800118187943296,0.4785993246753391,0.11064046352805794,0.10023650568286649,1.363095284102044,1.426501861211713,0.17786040633804295,0.2662913757932975,0.7983097048533861,0.36956541391648534,0.5672796716157528,0.5896196298859018
corr,0.05614585973037226,0.08704401457035012,0.29982065263626984,0.5915830734954032,0.38065830092442576,0.29334191349465627,0.15719228237948404,0.7062842262115943,0.6653598942478632,0.3609004029365801,0.20561234403912557,0.3488648141998448,0.2728005626377493,0.3084030807586223,0.6220727916529024
spatial_corr,0.06903220002637352,0.13074318695304019,0.3474197672610962,0.7048043086836202,0.5463060531000725,0.5739778365230213,0.30097751636465164,0.8627612662012645,0.8170580804338744,0.6393684504215195,0.45020190655439657,0.46733791212402,0.35345527782839303,0.7239851325401421,0.8403872502416234
monthly_corr,0.10817766225893087,0.6425640357266914,0.8315739915255171,0.9154136938853576,0.8755013740682204,0.8085541524298496,0.7703968703112389,0.9469900130343873,0.976841612750577,0.8180009452150783,0.5254632464311509,0.7662883969280395,0.9005504156855813,0.8129072427919111,0.893103555937624
yearly_corr,0.45407889953639174,0.7216391605901672,0.7185880023897708,0.7663776966616378,0.8948936299985046,0.63656496530511,0.19836078875143068,0.7900695453972643,0.8091386704688397,0.6972816543049682,0.792003133457708,0.17135503737213006,0.9713772928982953,0.8819250261745955,0.8940750873140234
