,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,CEAS,SEAS,EQAS,AUST,Global
rmse,0.29278394285871284,0.29898020707712286,0.9620565778269867,0.5257223671354568,0.7330064220668073,0.24703125537159745,0.19702840120009066,2.395423927915069,2.366181053324261,0.862408437078622,0.8160254688129637,2.610063903291953,0.35824956676065467,1.0774679940313572,1.1804476703168174
corr,0.7689854909183549,0.7743417948113108,0.5812335041962143,0.8244160619952087,0.7418094231709159,0.7881149956884395,0.8051910429415673,0.8806948355560728,0.8808702240034287,0.7566368169004739,0.7618483536014371,0.5545169602825948,0.707058731335989,0.9194252816595113,0.8463767823822317
spatial_rmse,0.05448671654183559,0.09408969329550022,0.4374405700496709,0.21262578143014868,0.30971985878640373,0.07634265969028078,0.0716957395497364,1.0944630140449187,1.1167116132647565,0.21466733197323878,0.22402730644993593,1.049845065037219,0.12068119214342893,0.20677531334125338,0.48686268311902753
spatial_corr,0.6544565652260645,0.6856275900723682,0.6522994696352865,0.8864121088388001,0.7227440233033885,0.9221851387388608,0.9017846093125068,0.9099213119834803,0.882602565068659,0.854089805148723,0.8045507512891054,0.6168015199103626,0.8120904055762855,0.9772027377377516,0.9013717718608387
monthly_corr,0.8619282431666968,0.7692960439613089,0.9293432911232724,0.9364396665126978,0.926608154190497,0.8649586870403476,0.9208793796245756,0.9751353547706619,0.9864267881725701,0.9529820106835735,0.8126495653541382,0.8473932820412375,0.9479372197048026,0.9800384663579796,0.8714619807283595
yearly_corr,0.9643322096054658,0.9007440181921349,0.8812601060488581,0.9380076871582685,0.7970657057725957,0.8467936314065225,0.9722234112875336,0.9383637598309374,0.6810267776162574,0.9445536508714967,0.9136396853862506,0.41699454564993166,0.9835344799027955,0.9813005644257893,0.9400126935142519
