,BuRNN,classic,elm-eca,jules-inferno-vn6p3,lpj-guess-simfire-blaze,lpj-guess-spitfire,lpjml5-7-10-fire,orchidee-mict,ssib4-triffid-fire,visit
RMSE,1.65,1.9516794489693994,2.8464733748252624,1.8096268072194588,1.9990366764135916,1.9499202076028643,2.108358562288318,2.6323877893673844,1.7292021795110406,2.177490014476958
Spatial RMSE,0.59,0.7898879336387307,0.8261588049914323,0.588028291839818,0.5978809964601373,0.7029282908189954,0.6912418741321509,1.1874560284544637,0.5632502173731252,1.1003629484800244
Correlation,0.62,0.35052619400245416,0.07777533661855467,0.31572052386409427,0.27213239427138197,0.24605051564492886,0.27348593587478043,0.14778364013627723,0.47589841501559266,0.010600449860006427
Spatial Correlation,0.84,0.5938859262861506,0.27659740025292173,0.6059558412426393,0.5845738722400992,0.4431029158277422,0.541510567980083,0.37466299378818096,0.6952119936423214,0.004420442870717021
Monthly Correlation,0.89,0.627049975250642,0.009450341169523233,0.4906938746783688,0.627663229263428,0.4863989656508794,0.4876569432619108,0.0761218249287088,0.8485536893812134,0.15735840497497358
Yearly Correlation,0.89,0.7523050399284024,0.11379276306002031,0.5905669607117197,0.39541937373089797,0.2598834541047103,0.09758603517657168,-0.21960797182132963,0.7464230774769797,-0.4874086161710608
