,\gls{model},CLASSIC,ELM-ECA,JULES-INFERNO-VN6P3,LPJ-GUESS-SIMFIRE-BLAZE,LPJ-GUESS-SPITFIRE,LPJML5-7-10-FIRE,ORCHIDEE-MICT,SSIB4-TRIFFID-FIRE,VISIT
\gls{rmse},1.59,2.0823401411721902,2.9955684598112833,2.048910947760201,2.212637500778478,2.210973796661175,2.2685588969882757,2.759046506795373,1.920826277227032,2.4600114454411135
Spatial \gls{rmse},0.49,0.8784618739787682,1.0276323111111025,0.8139513538012644,0.8490404914042653,0.9501729428144684,0.8806406106557179,1.24896853125702,0.764610030980295,1.32113119147721
Correlation,0.7,0.412821217550831,0.10763091164734884,0.38182972370289703,0.29359904714424034,0.2638033191570442,0.31389093093256437,0.1843440594731451,0.5118405027196836,0.008026016875195194
Spatial Correlation,0.88,0.5999034683127286,0.2991307455183282,0.6062707652570886,0.5629614892043286,0.41939728216898214,0.5304925301208443,0.40060468379933245,0.6707526567296679,-0.011503782067119496
Monthly Correlation,0.86,0.6062231895043574,0.19150645249081508,0.4576166045057639,0.5339934374367898,0.22086359704994385,0.4536265982857059,-0.1226716638283974,0.7292839063758061,0.0990555156001758
Yearly Correlation,0.87,0.7450925430325567,0.0668672530497526,0.513224972835644,0.5654511063218753,0.23205586015583773,0.07555430312522854,-0.3919409610060187,0.7551896529582278,-0.3710768678906101
